# Twilight Struggle Deluxe Edition - Country Adjacency Graph
# ITS competitive rules.
#
# Format: each row is one adjacent pair (country_a, country_b).
# Convention: country_a < country_b (by id). Each pair appears exactly once.
# Country IDs match data/spec/countries.csv.
#
# Superpower anchors:
#   USA  (id=81): Canada(2), Cuba(36), Japan(22), Mexico(42), Philippines(78), South Korea(25)
#   USSR (id=82): Afghanistan(20), Finland(6), North Korea(23), Poland(12), Romania(13)
#
# id=64 (Libya/Africa conflict in countries.csv) is intentionally unused here.
# Libya is a MiddleEast country only (id=33).
#
# Total adjacency pairs: 140
#
# Spec retraction 2026-04-21 (parallel to #116 UK/Turkey Europe-BG retraction):
# Prior adjacency.csv diverged from the TS Deluxe official map. User-authoritative
# corrections applied:
#   - Nicaragua neighbors: Cuba, Costa Rica only (was: El Salvador, Honduras, Costa Rica)
#   - South Africa neighbors: Angola, Botswana only (was: Botswana, SE African, Zimbabwe)
#   - Spain/Portugal neighbors: France, Italy, Morocco (was missing Italy)
#   - Zimbabwe neighbors: Zaire, Botswana, SE African (was: Botswana, Mozambique, SA)
#   - SE African States neighbors: Kenya, Zimbabwe (was: Angola, Zaire, Kenya, Mozambique, SA)
# Removed: 38,43 | 41,43 | 57,69 | 60,69 | 66,69 | 66,74 | 69,71 | 71,74
# Added:   10,14 | 36,43 | 57,71 | 60,74 | 69,74
#
country_a,country_b
0,3  # Austria -- Czechoslovakia
0,9  # Austria -- Hungary
0,10  # Austria -- Italy
0,18  # Austria -- West Germany
0,19  # Austria -- Yugoslavia
1,7  # Benelux -- France
1,17  # Benelux -- UK
1,18  # Benelux -- West Germany
2,17  # Canada -- UK
2,81  # Canada -- USA
3,5  # Czechoslovakia -- East Germany
3,9  # Czechoslovakia -- Hungary
3,12  # Czechoslovakia -- Poland
3,18  # Czechoslovakia -- West Germany
4,11  # Denmark -- Norway
4,15  # Denmark -- Sweden
4,18  # Denmark -- West Germany
5,12  # East Germany -- Poland
5,18  # East Germany -- West Germany
6,11  # Finland -- Norway
6,15  # Finland -- Sweden
6,82  # Finland -- USSR
7,10  # France -- Italy
7,14  # France -- Spain/Portugal
7,17  # France -- UK
7,18  # France -- West Germany
7,56  # France -- Algeria
8,10  # Greece -- Italy
8,16  # Greece -- Turkey
8,19  # Greece -- Yugoslavia
8,83  # Greece -- Bulgaria
9,13  # Hungary -- Romania
9,19  # Hungary -- Yugoslavia
10,14  # Italy -- Spain/Portugal
10,19  # Italy -- Yugoslavia
11,15  # Norway -- Sweden
12,82  # Poland -- USSR
13,19  # Romania -- Yugoslavia
13,82  # Romania -- USSR
13,83  # Romania -- Bulgaria
14,65  # Spain/Portugal -- Morocco
16,35  # Turkey -- Syria
16,83  # Turkey -- Bulgaria
19,83  # Yugoslavia -- Bulgaria
20,21  # Afghanistan -- India
20,24  # Afghanistan -- Pakistan
20,28  # Afghanistan -- Iran
20,82  # Afghanistan -- USSR
21,24  # India -- Pakistan
21,75  # India -- Burma
22,25  # Japan -- South Korea
22,78  # Japan -- Philippines
22,81  # Japan -- USA
23,25  # North Korea -- South Korea
23,82  # North Korea -- USSR
24,28  # Pakistan -- Iran
25,81  # South Korea -- USA
25,85  # South Korea -- Taiwan
26,30  # Egypt -- Israel
26,33  # Egypt -- Libya
26,72  # Egypt -- Sudan
27,28  # Gulf States -- Iran
27,34  # Gulf States -- Saudi Arabia
28,29  # Iran -- Iraq
29,31  # Iraq -- Jordan
29,34  # Iraq -- Saudi Arabia
29,35  # Iraq -- Syria
30,31  # Israel -- Jordan
30,32  # Israel -- Lebanon
30,35  # Israel -- Syria
31,34  # Jordan -- Saudi Arabia
31,35  # Jordan -- Syria
32,35  # Lebanon -- Syria
33,56  # Libya -- Algeria
33,73  # Libya -- Tunisia
36,40  # Cuba -- Haiti
36,43  # Cuba -- Nicaragua
36,81  # Cuba -- USA
37,40  # Dominican Republic -- Haiti
38,39  # El Salvador -- Guatemala
38,41  # El Salvador -- Honduras
39,41  # Guatemala -- Honduras
39,42  # Guatemala -- Mexico
41,45  # Honduras -- Costa Rica
42,81  # Mexico -- USA
43,45  # Nicaragua -- Costa Rica
44,45  # Panama -- Costa Rica
44,50  # Panama -- Colombia
46,48  # Argentina -- Brazil
46,49  # Argentina -- Chile
46,52  # Argentina -- Paraguay
46,54  # Argentina -- Uruguay
47,48  # Bolivia -- Brazil
47,49  # Bolivia -- Chile
47,52  # Bolivia -- Paraguay
47,53  # Bolivia -- Peru
48,50  # Brazil -- Colombia
48,53  # Brazil -- Peru
48,54  # Brazil -- Uruguay
48,55  # Brazil -- Venezuela
49,53  # Chile -- Peru
50,51  # Colombia -- Ecuador
50,53  # Colombia -- Peru
50,55  # Colombia -- Venezuela
51,53  # Ecuador -- Peru
52,54  # Paraguay -- Uruguay
56,65  # Algeria -- Morocco
56,68  # Algeria -- Saharan States
56,73  # Algeria -- Tunisia
57,58  # Angola -- Botswana
57,60  # Angola -- Congo/Zaire
57,71  # Angola -- South Africa
58,66  # Botswana -- Mozambique
58,71  # Botswana -- South Africa
58,74  # Botswana -- Zimbabwe
59,60  # Cameroon -- Congo/Zaire
59,62  # Cameroon -- Ivory Coast
59,67  # Cameroon -- Nigeria
60,74  # Congo/Zaire -- Zimbabwe
61,63  # Ethiopia -- Kenya
61,70  # Ethiopia -- Somalia
61,72  # Ethiopia -- Sudan
62,67  # Ivory Coast -- Nigeria
62,68  # Ivory Coast -- Saharan States
63,69  # Kenya -- SE African States
63,70  # Kenya -- Somalia
65,68  # Morocco -- Saharan States
67,68  # Nigeria -- Saharan States
69,74  # SE African States -- Zimbabwe
75,77  # Burma -- Laos/Cambodia
75,79  # Burma -- Thailand
76,78  # Indonesia -- Philippines
76,84  # Indonesia -- Malaysia
77,79  # Laos/Cambodia -- Thailand
77,80  # Laos/Cambodia -- Vietnam
78,81  # Philippines -- USA
78,84  # Philippines -- Malaysia (both Indonesia+Malaysia were adj to Philippines in combined space)
78,85  # Philippines -- Taiwan
79,80  # Thailand -- Vietnam
79,84  # Thailand -- Malaysia
