# Twilight Struggle canonical country data - Deluxe Edition
#
# Sources: GMT Games Twilight Struggle Deluxe Edition rulebook (setup diagram p.7,
#   board artwork); ITS competitive rules.
#
# country_id: 0-based sequential integer.
#   Assigned in region order (matching ts::Region enum in cpp/tscore/types.hpp):
#   Europe, Asia, MiddleEast, CentralAmerica, SouthAmerica, Africa, SoutheastAsia.
#   Within each region: alphabetical order.
#   Special superpower anchor ids at end (not normal board countries):
#     75 = USA homeland anchor (used for adjacency only)
#     76 = USSR homeland anchor (used for adjacency only)
#
# region: Europe | Asia | MiddleEast | CentralAmerica | SouthAmerica | Africa | SoutheastAsia
#   SoutheastAsia is the TS scoring sub-region (scored by Southeast Asia Scoring card).
#   Countries in SoutheastAsia do NOT count for Asia Scoring (only SE Asia Scoring).
#   EXCEPTION: South Korea and Japan are Asia (not SoutheastAsia) for scoring.
#
# stability: integer 1-5
# is_battleground: true = worth extra VP in scoring; required for domination/control
# us_start_influence: starting US influence (per rulebook p.7 setup)
# ussr_start_influence: starting USSR influence
#
# UNCERTAIN values are noted inline.
# Key setup uncertainties that need verification against physical rulebook:
#   - Italy: US start influence 0 or 1?
#   - UK: US start influence 4 or 5?
#   - Hungary: USSR start influence 0 or 1?
#   - Yugoslavia: 0/0 confirmed?
#   - Saudi Arabia: 0/0 confirmed?
#   - Gulf States: 0/0 confirmed?
#
country_id,name,region,stability,is_battleground,us_start_influence,ussr_start_influence
# ---- Europe (ids 0-19) ----
0,Austria,Europe,4,false,0,0
1,Benelux,Europe,3,false,0,0
2,Canada,Europe,4,false,2,0
3,Czechoslovakia,Europe,3,false,0,0
4,Denmark,Europe,3,false,0,0
5,East Germany,Europe,3,true,0,3
6,Finland,Europe,4,false,0,1
7,France,Europe,3,true,0,0
8,Greece,Europe,2,false,0,0
9,Hungary,Europe,3,false,0,0
10,Italy,Europe,2,true,0,0
11,Norway,Europe,4,false,0,0
12,Poland,Europe,3,true,0,0
13,Romania,Europe,3,false,0,0
14,Spain/Portugal,Europe,2,false,0,0
15,Sweden,Europe,4,false,0,0
16,Turkey,Europe,2,true,0,0
17,UK,Europe,5,true,5,0
18,West Germany,Europe,4,true,0,0
19,Yugoslavia,Europe,3,false,0,0
# Europe setup notes (corrected 2026-03-28, verified against TSEspionage log brackets):
#   US fixed: Canada=2, UK=5; all others 0
#   USSR fixed: East Germany=3, Finland=1; all others 0
#   Free placements (6 USSR Eastern Europe, 7 US Western Europe) are recorded
#   in each game's SETUP block and applied via bracket-set — NOT pre-encoded here.
#   Previous values (Czechoslovakia=3, France=1, Hungary=1, Poland=4, Romania=3,
#   Turkey US=1, West Germany US=4, Yugoslavia=1) were wrong — they baked in
#   one possible free-placement choice rather than the true zero starting state.
#   UNCERTAIN: UK = 5 (Deluxe Ed) vs 4 (original). Using 5.
# ---- Asia (ids 20-34, excluding Southeast Asia countries) ----
# Asia scoring region includes: Afghanistan, China (not on board), India, Japan,
#   North Korea, Pakistan, South Korea, plus any countries in se asia that
#   happen to score for Asia -- but in TS, SE Asia is separate scoring.
# Asia countries on the board (non-SE Asia):
20,Afghanistan,Asia,2,false,0,0
21,India,Asia,3,true,0,0
22,Japan,Asia,4,true,1,0
23,North Korea,Asia,3,true,0,3
24,Pakistan,Asia,2,true,0,0
25,South Korea,Asia,3,true,1,0
# Asia setup notes:
#   US: Japan=1, South Korea=1; all others 0
#   USSR: North Korea=3; all others 0
#   UNCERTAIN: Pakistan US/USSR start = 0/0. Verify.
#   NOTE: China is not a country on the board in TS. The China Card is a
#   separate game mechanism. No country entry for China.
# ---- Middle East (ids 26-36) ----
26,Egypt,MiddleEast,2,true,0,0
27,Gulf States,MiddleEast,3,false,0,0
28,Iran,MiddleEast,2,true,1,0
29,Iraq,MiddleEast,3,true,0,1
30,Israel,MiddleEast,4,true,1,0
31,Jordan,MiddleEast,2,false,0,0
32,Lebanon,MiddleEast,1,false,0,0
33,Libya,MiddleEast,2,true,0,0
34,Saudi Arabia,MiddleEast,3,true,0,0
35,Syria,MiddleEast,2,false,0,1
# Middle East setup notes:
#   US: Iran=1, Israel=1; all others 0
#   USSR: Iraq=3, Syria=1; all others 0
# ---- Central America (ids 36-45) ----
36,Cuba,CentralAmerica,3,true,0,0
37,Dominican Republic,CentralAmerica,1,false,0,0
38,El Salvador,CentralAmerica,1,false,0,0
39,Guatemala,CentralAmerica,1,false,0,0
40,Haiti,CentralAmerica,1,false,0,0
41,Honduras,CentralAmerica,2,false,0,0
42,Mexico,CentralAmerica,2,true,0,0
43,Nicaragua,CentralAmerica,1,false,0,0
44,Panama,CentralAmerica,2,true,1,0
45,Costa Rica,CentralAmerica,3,false,0,0
# Central America setup notes:
#   US: Panama=1; all others 0
#   USSR: all 0
#   UNCERTAIN: Panama US start = 1. Verify.
#   UNCERTAIN: Costa Rica stability=3. Verify.
#   NOTE: Some printings include "Caribbean" as a country. Verify board.
# ---- South America (ids 46-55) ----
46,Argentina,SouthAmerica,2,true,0,0
47,Bolivia,SouthAmerica,2,false,0,0
48,Brazil,SouthAmerica,2,true,0,0
49,Chile,SouthAmerica,3,true,0,0
50,Colombia,SouthAmerica,1,false,0,0
51,Ecuador,SouthAmerica,2,false,0,0
52,Paraguay,SouthAmerica,2,false,0,0
53,Peru,SouthAmerica,2,false,0,0
