ISMCTS speed sweep (36 configs)
  model     = data/checkpoints/scripted_for_elo/v55_scripted.pt
  n_games   = 20  (half as USSR, half as US)
  n_det     = 4
  n_sim     = 50

pool pend  dev intra mbatch time(s) games/s   sims/s    items     WR
--------------------------------------------------------------------
   8    4  cpu     1    128    28.8   0.694   2964.7    84914  0.700
   8    4  cpu     4    128    23.6   0.848   3615.2    84914  0.700
   8    4  cpu     8    128    25.1   0.796   3389.9    84914  0.700
   8    4 cuda     1    128    37.2   0.537   2308.7    84914  0.700
   8    8  cpu     1    256    20.7   0.968   3090.6    63545  0.800
   8    8  cpu     4    256    15.7   1.273   4066.9    63545  0.800
   8    8  cpu     8    256    17.1   1.170   3733.1    63545  0.800
   8    8 cuda     1    256    25.2   0.795   2544.2    63545  0.800
   8   16  cpu     1    512    28.1   0.712   3011.3    84293  0.750
   8   16  cpu     4    512    21.0   0.954   4035.9    84293  0.750
   8   16  cpu     8    512    22.5   0.888   3758.0    84293  0.750
   8   16 cuda     1    512    30.7   0.652   2763.3    84293  0.750
  16    4  cpu     1    256    31.1   0.643   2738.5    84914  0.700
  16    4  cpu     4    256    24.9   0.804   3426.7    84914  0.700
  16    4  cpu     8    256    26.1   0.767   3268.1    84914  0.700
  16    4 cuda     1    256    37.2   0.537   2293.6    84914  0.700
  16    8  cpu     1    512    21.4   0.936   2986.4    63545  0.800
  16    8  cpu     4    512    16.2   1.235   3945.4    63545  0.800
  16    8  cpu     8    512    17.5   1.143   3647.6    63545  0.800
  16    8 cuda     1    512    24.3   0.824   2635.2    63545  0.800
  16   16  cpu     1   1024    28.3   0.708   2992.2    84293  0.750
  16   16  cpu     4   1024    21.5   0.932   3942.4    84293  0.750
  16   16  cpu     8   1024    23.7   0.845   3575.4    84293  0.750
  16   16 cuda     1   1024    31.5   0.635   2694.9    84293  0.750
  32    4  cpu     1    512    31.5   0.636   2707.7    84914  0.700
