Panel × Temperature sweep vs heuristic (nash temps on heur side)
  games/side=50  pool=16  intra=4

model    T   ussr     us   comb   t(s)
--------------------------------------
  v20  0.0  0.540  0.300  0.420    7.3
  v20  0.5  0.500  0.280  0.390    7.4
  v20  1.0  0.440  0.160  0.300    7.5
  v20  1.5  0.360  0.160  0.260    7.6
  v20  2.0  0.400  0.080  0.240    7.4
  v44  0.0  0.520  0.420  0.470    7.3
  v44  0.5  0.500  0.240  0.370    7.7
  v44  1.0  0.400  0.340  0.370    7.3
  v44  1.5  0.260  0.220  0.240    7.0
  v44  2.0  0.200  0.140  0.170    7.2
  v54  0.0  0.520  0.300  0.410    7.3
  v54  0.5  0.340  0.480  0.410    7.7
  v54  1.0  0.480  0.260  0.370    7.7
  v54  1.5  0.220  0.160  0.190    7.1
  v54  2.0  0.320  0.100  0.210    7.0
  v55  0.0  0.560  0.440  0.500   10.9
  v55  0.5  0.540  0.380  0.460    9.8
  v55  1.0  0.520  0.280  0.400    9.9
  v55  1.5  0.400  0.120  0.260   10.0
  v55  2.0  0.300  0.140  0.220    9.8
  v56  0.0  0.640  0.340  0.490    7.3
  v56  0.5  0.480  0.480  0.480    7.8
  v56  1.0  0.440  0.300  0.370    8.2
  v56  1.5  0.460  0.200  0.330    7.5
  v56  2.0  0.300  0.060  0.180    7.6
